,volume_z_24,volume_z_48,volume_z_12,rsi_14,rsi_7,di_plus_14,cci_28,roc_10,di_plus_14_lag1,roc_14,cci_14,stoch_k_21,volume_z_12_lag1,rsi_7_lag2,di_minus_14_lag2,hour_cos,roc_10_lag1,hour_lag3,hour_lag6,rsi_14_lag3,hour_lag1,macd_vol,di_plus_14_lag2,roc_14_lag2,cci_20_lag3,di_plus_14_lag3,stoch_d_7,volume_roc_12_lag1,volume_roc_24,di_plus_14_lag6,rsi_14_lag6,di_minus_14_lag3,mfi_14_lag3,stoch_k_7_lag2,adx_vol_lag12,adi,volume_roc_12_lag2,roc_20_lag3,rsi_14_std_6,volume_z_12_lag2
PC1,-0.001733406452423914,-0.0031078021424574345,-0.001355524592105034,0.23561057779990394,0.20730495463976026,0.22499039490732883,0.21229928121396763,0.19471035411059323,0.22550487302737046,0.2111319366208757,0.16527282079140734,0.20099491243215192,-0.0015908090714778342,0.2232124471777705,-0.21480923687329617,0.004924407638031141,0.1986788222022406,0.003918284626256346,0.003950952227586855,0.22889059257330363,0.0015858286872370247,0.14815533076618087,0.22206128386286209,0.20725516939894284,0.2040207283436045,0.21252002259815717,0.1360629286248449,-0.0012797983084623199,-0.0002093652832143498,0.1710669963953213,0.18427253367522797,-0.2061059246970271,0.19114147186076774,0.13271667725566696,-0.00611594853864187,0.002433877416287642,-0.002141486108596301,0.1933775310140166,-0.006169873758526274,-0.0031742227044583918
PC2,0.41779775848720546,0.4081085933687335,0.3892977420624454,-0.022405197191098444,-0.0610116293979347,0.07064354702280941,-0.0452815204247274,-0.05529842813707428,0.06663443713579487,-0.03390249735054537,-0.08491521249713149,-0.06089367426841598,0.33433000068158797,-0.01832071747272748,-0.008919145989594769,-0.23134616628430932,-0.03830845676668925,-0.07850451194587311,-0.17608028097406134,0.03654464017899745,-0.006593411614043537,0.0123132718489878,0.06482017394350201,-0.002413081344717524,0.009420468984339686,0.0612566388755045,-0.09961068487640323,0.21320710486382613,0.09899369161937885,0.06078999006674707,0.062446567959146035,-0.04076265851220678,0.03155110819042678,-0.06927566388535861,-0.07107453005352679,0.022929339941878495,0.1580027990105064,0.03058918768890547,0.27935831707889325,0.2698740763962136
PC3,0.11165632753951951,0.10580060160422589,0.11015537073586411,0.0883409433222311,0.24330902823961292,0.019322750712474464,0.18708630525474235,0.16606644243808608,-0.05027031950208166,0.05718719368589881,0.33649318866832456,0.20003860693824757,0.08054995019752006,0.09471424348612797,0.11735564817076068,-0.06484287951792554,0.09489995423208734,0.0016016187097365926,-0.05142727256270231,-0.14480153346341385,0.02463668330531288,-0.1328078666246402,-0.1309794269337552,-0.07024452478137658,-0.02486032285852369,-0.20673701183192048,0.4006469815911146,0.04601261551596486,0.023001324215113975,-0.3068190789996894,-0.2794691584333628,0.18307333637952372,-0.1463994931177855,0.3005101315949371,0.042150239881841155,-0.029565205863830952,0.02905088916144961,-0.18588873171207335,0.05808304374714123,0.05809618907515192
PC4,0.12198184374010165,0.1470404021996169,-0.02095464645467002,-0.004994359045442279,-0.006344995157563353,0.04855100682411274,-0.008448300490850047,-0.01834354672357665,0.04347475019669188,-0.02411468364986211,-0.002561641131434727,-0.020895993760990772,-0.025177318226878295,0.004744484618786994,0.024268417450481774,0.4900058780330295,-0.016647193893383493,0.5274610486794683,0.45596681782240733,0.0008770303859256731,0.34236470875774466,-0.024395331646368562,0.036731560573817205,-0.02213442581890855,-0.0015838015412443314,0.02580371923059614,0.009173806649355578,0.11603785022544451,0.10418866498472411,0.010198828892530066,-0.004848324122008237,0.01568659025927665,-0.00852979492415168,0.016026935983423005,-0.05308041061274256,0.02293811166436959,0.14785801212812477,-0.025768787756832907,0.24132407812990667,0.005902320204119047
PC5,-0.3293464091612548,-0.2956940819959527,-0.38619919456836055,0.027054735594511756,0.039366626271470084,0.0367799840513212,0.02433139802914434,0.004398155536496142,0.07755925687011538,-0.004315717688094184,0.03844651553293701,0.019843507918044477,0.11754472433868604,-0.03745522856065005,0.1021965832252321,-0.14532256224585252,-0.02192382426997655,0.011124319794315425,-0.14122822210234778,-0.02374799905469332,0.11899588720596031,-0.01644899895407872,0.08313061152472195,-0.04323848582637694,-0.03221728260983674,0.05019799301970399,0.002804648579277216,0.3409198969709521,0.030890791887652088,0.03050060227325179,-0.0029629575566634224,0.06237914135688155,-0.021446826444078162,-0.049208700159423815,-0.04549103869022622,0.06863546525951494,0.4800029852709549,-0.030952192684597972,0.13827481179490786,0.407391973261531
PC6,-0.003330323599320709,0.014443928326969297,-0.01929129950945456,0.09754631761681216,0.09888068798639152,0.18155255740934417,0.10577190819862524,-0.18188639612557506,0.15063284541856325,-0.22136875247647436,0.12021135601167977,0.028291693434633537,-0.04147798631376762,0.014730511195022295,-0.032827468681950446,0.12952913161212895,-0.22911130579885577,-0.2126057253217624,0.17808492571869508,0.01116017826088328,-0.35387329112120486,-0.20990776553319768,0.12472596543772986,-0.25699513280939623,-0.013655863266663806,0.1088730135742058,0.05032442044897494,-0.030917088482394762,0.06176985004319491,0.0957237580173013,0.0034084343756936955,-0.014422564638608481,-0.047201522424859144,0.00024506319859589955,-0.39629189219672606,0.43444701448912104,-0.011722996220908834,-0.18938033697638182,0.019525085320601376,-0.05092381091052308
PC7,-0.022029375151926742,0.017759137030917135,-0.027077255359796493,0.052454758668802316,0.03260100985740548,0.06909551741655813,0.07122543145740154,-0.2047695741626916,0.08039924280620066,-0.21019348516283212,0.023201446567839068,0.05952469809529331,-0.0035895140664858245,0.07211966973500522,-0.045494446398441205,0.022838682246282303,-0.21660416149749692,-0.048340944935703456,0.038653848540418395,0.09449058994918763,-0.07843926186236193,-0.40730878824579575,0.09823637081943094,-0.1834795021252112,0.12341947097521772,0.10360366011709843,0.0028518645953397666,0.017816115297325803,0.07785793343461628,0.07009754989041352,0.06034071841612555,-0.05462873854437994,0.11693432368407894,0.026969752099580177,0.5368237653350905,-0.48148846408869905,0.03256122323699072,-0.15747904833739237,0.03350623975561907,0.003110713441358109
PC8,0.044809315287897236,0.022104134698431113,0.03439569410541855,0.06855212089654757,0.05659831480464578,0.062841260590165,0.05926611496787317,-0.1425146889734063,0.03958698143859403,-0.15138673064693584,0.05812897807607092,0.02675578283329346,-0.10829545146441498,0.013974301418933315,-0.08937943607528252,-0.25749294127148065,-0.1687668676673206,0.290738483735267,-0.3957573089852621,0.030378346314045585,0.5935917470736892,-0.141857897806033,0.0407132935309048,-0.15942847727348433,-0.004508587543676327,0.058203483971701664,0.026393497201194684,-0.07615447643435293,-0.17152869009838753,0.09166687413055336,0.0341969501490813,-0.06231879605372876,-0.00420345556914335,-0.00682299325236774,-0.11143587434589676,0.16945501162747317,-0.10121513222020846,-0.10375929056648173,-0.20935905520734638,-0.13008753911796772
PC9,0.029739496327994837,0.053776192925975935,0.01661350590664342,-0.030310822772532622,-0.03453302092328838,-0.023346267298863705,-0.037582790634526686,0.018219184445484204,-0.02265572715585079,0.002906045223398324,-0.03565407036135623,-0.03134258972368332,-0.25717268637584156,0.032618946558490854,-0.011862183961565569,-0.06411870544812584,0.038966448633403296,-0.042226942166120864,-0.12561262212366658,0.0013562785999715879,0.055664447493329404,0.01681208987314934,0.000996590735441587,0.03239463891962121,0.0007205060898777754,0.014176273358584639,0.026246802613666163,0.017729238843668362,0.845106782139126,0.01631774641417041,-0.020425799317196708,0.018284573833868018,-0.006166131962005115,0.0657660298981308,-0.010686814039862297,0.0375874559405224,0.26782988526701207,0.015879087830518453,-0.22577888514042932,-0.22028433565817687
PC10,-0.04220505333252205,-0.06624524709973964,-0.03581726564466465,-0.18545782342588632,-0.2242226623153201,-0.196448950191012,-0.1516299224387606,-0.09208884865219102,-0.02032070473789352,-0.15729883595381536,-0.23739920651241608,-0.19419298815322203,0.10395580065476513,0.33478126027359445,-0.18628639746867087,-0.005773841537015641,0.021553762435340757,0.013798122882959172,0.006218713158583776,0.15290880017899527,-0.01027936256378772,-0.09723433674328252,0.07358989963801141,0.07060040494045285,0.2870959181701617,0.026792999885952514,0.13901561576931204,0.11171775503441567,-0.07073785855785532,-0.22293807281931843,-0.15789858861518605,-0.15243389409319016,0.09203592945345926,0.5059642528729836,-0.16313194991093743,0.05231956840501393,0.005286488519950975,-0.018085949385802467,-0.05235712481268592,0.04684106806421469
